x,y,TOAPE,TOHO,MURD,ATMU,COMU,MSLT,DRCD,TOAS,SEAS,OTAS,TOSO,RAAR,OTSO,TORO,ARRO,UNRO,EXTO,KAAE,OFAP,TOAPR,TOUE,UEWID,UEWTVD,UEWVD,UEWIS,UEWIO,ARSO,OTPD,MOVT,OTTH,STFD,SHST,STST,OTST,TOFR,FBCH,FBCC,OTFR,THSG,PPSS,RESP,PETP,OHSG,TOOO,DROF,PROF,LIDR,GAOF,TRAV,GOOO,TARD,MIOF
153.198,27.7142,55,0,0,0,0,0,0,33,13,20,11,2,9,9,5,4,0,1,1,957,300,203,203,0,25,72,4,142,78,360,19,45,0,296,73,13,28,32,0,0,0,0,0,17,0,0,0,0,3,7,0,7
152.973,26.9537,27,0,0,0,0,0,0,12,11,1,8,0,8,2,1,1,0,0,5,352,148,135,135,0,0,13,3,66,29,86,7,1,0,78,20,3,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,2
152.957,26.8596,52,0,0,0,0,0,0,25,11,14,4,2,2,9,3,6,0,1,13,820,302,240,240,0,7,55,5,146,56,300,17,11,0,272,11,1,5,5,0,0,0,0,0,9,0,0,0,0,0,1,1,7
153.174,27.7602,12,1,0,1,0,0,0,6,3,3,3,0,3,0,0,0,0,0,2,143,79,50,48,2,6,23,0,24,2,36,10,2,0,24,2,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1
153.149,27.0612,25,0,0,0,0,0,0,9,7,2,3,0,3,11,9,2,1,0,1,433,194,172,170,2,9,13,1,76,40,112,13,3,0,96,10,2,3,5,0,0,0,0,0,7,0,0,0,0,4,1,1,1
152.889,27.6419,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,31,13,2,2,0,0,11,0,5,3,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.88,27.5605,8,0,0,0,0,0,0,7,5,2,0,0,0,0,0,0,0,0,1,468,103,8,8,0,22,73,2,86,35,111,2,0,0,109,131,7,1,123,0,0,0,0,0,3,0,0,0,0,1,0,0,2
152.885,27.0949,10,0,0,0,0,0,0,4,2,2,2,0,2,2,2,0,0,0,2,425,144,107,107,0,7,30,0,83,25,170,13,1,0,156,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,2,0,1
153.135,27.5076,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,36,20,15,15,0,0,5,5,2,1,8,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.385,28.0137,30,0,0,0,0,0,0,26,13,13,1,0,1,1,0,1,0,1,1,720,261,36,35,1,27,198,5,121,63,219,11,6,0,202,51,20,5,26,0,0,0,0,0,10,0,0,0,0,3,5,0,2
153.083,27.6521,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,49,13,8,8,0,0,5,1,15,4,16,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
153.154,27.6895,84,1,0,1,0,0,0,36,29,7,6,2,4,19,7,12,0,1,21,855,222,124,118,6,47,51,0,147,54,272,14,37,0,221,160,3,32,125,0,0,0,0,0,12,0,0,0,0,1,2,0,9
153.097,27.997,13,0,0,0,0,0,0,5,2,3,1,1,0,2,0,2,0,0,5,317,119,92,91,1,12,15,3,89,15,82,13,4,0,65,9,1,2,6,0,0,0,0,0,14,0,0,0,0,2,1,0,11
153.39,27.9316,146,5,0,5,0,0,0,94,40,54,13,5,8,18,6,12,1,1,14,1423,346,204,199,5,36,106,6,208,77,423,39,41,0,343,363,8,49,306,0,0,0,0,0,54,0,0,0,0,6,43,0,5
153.507,28.1621,29,0,0,0,0,0,0,12,5,7,9,1,8,2,2,0,0,0,6,411,188,155,154,1,11,22,2,64,22,127,36,2,0,89,8,2,4,2,0,0,0,0,0,16,0,0,0,0,2,7,0,7
153.206,27.5004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,1,19,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
